begin
"57520";"广东休闲娱乐" ; "893" ; "广州" ; "番禺区" ; "广州市" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57520.html"
"909";"西安可口可乐体育场" ; "3250" ; "西安" ; "碑林区" ; "陕西省西安市碑林区二环南路（西段）" ; "体育场馆" ; " 体育比赛" ; "0" ; "http://venue.damai.cn/venue_909.html"
"947";"西安音乐厅" ; "3250" ; "西安" ; "新城区" ; "陕西省西安曲江新区雁南一路" ; "音乐厅" ; " 音乐会" ; "13" ; "http://venue.damai.cn/venue_947.html"
"948";"西安音乐学院音乐厅" ; "3250" ; "西安" ; "新城区" ; "陕西省西安市长安中路108号西安音乐学院内" ; "音乐厅" ; " 音乐会" ; "0" ; "http://venue.damai.cn/venue_948.html"
"949";"曲江会展中心" ; "3250" ; "西安" ; "新城区" ; "西安市雁展路1号" ; "会展中心" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_949.html"
"967";"西安喜来登大酒店" ; "3250" ; "西安" ; "新城区" ; "西安 莲湖区 丰镐东路262号" ; "酒店" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_967.html"
"1070";"蒲城通用航空产业园" ; "3250" ; "西安" ; "阎良区" ; "西安市阎良区蓝天路88路" ; "其他" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_1070.html"
"1135";"西安曲江国际会展中心B4馆" ; "3250" ; "西安" ; "新城区" ; "西安市雁展路1号" ; "会展中心/商业中心" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_1135.html"
"1148";"第四军医大学长乐大礼堂" ; "3250" ; "西安" ; "新城区" ; "西安市长乐西路169号" ; "剧场" ; " 话剧/歌剧/戏曲综艺/舞蹈芭蕾" ; "0" ; "http://venue.damai.cn/venue_1148.html"
"1200";"西安香格里拉大酒店" ; "3250" ; "西安" ; "高新区" ; "西安高新开发区科技路38号乙" ; "酒店/娱乐休闲" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_1200.html"
"1207";"王木犊剧场" ; "3250" ; "西安" ; "高新区" ; "南二环西段丰庆公园南门西100米的品艺园茶馆" ; "剧场" ; " 话剧/歌剧/戏曲综艺/魔术马戏" ; "0" ; "http://venue.damai.cn/venue_1207.html"
"1218";"临潼华清爱琴海温泉" ; "3250" ; "西安" ; "临潼区" ; "西安市临潼区陕鼓大道8号" ; "景区/娱乐休闲" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_1218.html"
"1267";"陕西景区81家" ; "3250" ; "西安" ; "新城区" ; "陕西景区81家" ; "景区/公园" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_1267.html"
"1369";"西安光圈CLUB " ; "3250" ; "西安" ; "碑林区" ; "碑林区东大街菊花园饮马池(近端履门十字) " ; "Livehouse/剧场" ; " 音乐会" ; "0" ; "http://venue.damai.cn/venue_1369.html"
"1372";"西安曲江唐城墙遗址公园" ; "3250" ; "西安" ; "新城区" ; "曲江新区位于西安城区东南部" ; "景区/公园/娱乐休闲" ; " 儿童亲子" ; "0" ; "http://venue.damai.cn/venue_1372.html"
"1401";"西安曲江城墙遗址公园" ; "3250" ; "西安" ; "新城区" ; "曲江新区位于西安城区东南部" ; "公园/娱乐休闲" ; " 儿童亲子" ; "0" ; "http://venue.damai.cn/venue_1401.html"
"1526";"西安太平洋影城" ; "3250" ; "西安" ; "新城区" ; "曲江新区大唐不夜城" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_1526.html"
"1536";"蒲城机场" ; "3250" ; "西安" ; "高新区" ; "蒲城县西南方向的党睦镇境内" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_1536.html"
"52969";"滚石新天地" ; "3250" ; "西安" ; "碑林区" ; "西安市南大街中断" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_52969.html"
"52970";"西安曲江海洋馆" ; "3250" ; "西安" ; "新城区" ; "西安曲江" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_52970.html"
"52982";"金翅鸟新视听演艺广场" ; "3250" ; "西安" ; "新城区" ; "新城区西一路77号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_52982.html"
"53036";"大明宫遗址公园" ; "3250" ; "西安" ; "莲湖区" ; "大明宫遗址公园" ; "公园" ; " 演唱会" ; "0" ; "http://venue.damai.cn/venue_53036.html"
"53094";"浐灞生态区" ; "3250" ; "西安" ; "浐灞生态区" ; "位于西安城区东部，北到渭河，南到绕城高速" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53094.html"
"53148";"西安泾渭体育中心(室内篮球馆)" ; "3250" ; "西安" ; "高陵县" ; "泾渭新区陕汽路" ; "体育场馆" ; " 体育比赛" ; "0" ; "http://venue.damai.cn/venue_53148.html"
"53289";"光音Bar" ; "3250" ; "西安" ; "碑林区" ; "碑林区大南门外东北角亚童梦园内" ; "Livehouse" ; " 演唱会/音乐会" ; "0" ; "http://venue.damai.cn/venue_53289.html"
"53315";"西安国际影星大剧场" ; "3250" ; "西安" ; "未央区" ; "西安市红光路44号秦阿房宫旅游景区国际影星大剧场" ; "剧场" ; " 音乐会/话剧/歌剧" ; "0" ; "http://venue.damai.cn/venue_53315.html"
"53327";"西安美术馆" ; "3250" ; "西安" ; "雁塔区" ; "西安曲江新区大唐不夜城" ; "会展中心/娱乐休闲" ; " 话剧/歌剧" ; "0" ; "http://venue.damai.cn/venue_53327.html"
"53434";"新月亮钥匙Live House" ; "3250" ; "西安" ; "高新区" ; "西安市高新区科技路枫叶新都市北门 西边第一家" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53434.html"
"53471";"曲江各景区" ; "3250" ; "西安" ; "新城区" ; "曲江各景区" ; "公园" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53471.html"
"53503";"都市之门千人会堂" ; "3250" ; "西安" ; "高新区" ; "西安高新区锦业路1号" ; "会展中心/多功能厅" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53503.html"
"53564";"大麦网西安站" ; "3250" ; "西安" ; "雁塔区" ; "雁塔区小寨东路196号西安国际贸易中心1615室" ; "未知" ; " 未知" ; "1" ; "http://venue.damai.cn/venue_53564.html"
"53600";"西安万达影城（民乐店）10号厅" ; "3250" ; "西安" ; "新城区" ; "陕西省西安市新城区解放路63号民乐新都会购物广场4层 " ; "多功能厅" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53600.html"
"53602";"西安万达影城（李家村店）3号厅" ; "3250" ; "西安" ; "碑林区" ; "陕西省西安市碑林区雁塔路北段8号万达广场娱乐楼4层" ; "多功能厅" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53602.html"
"53605";"西安万达影城（解放路店）9号厅" ; "3250" ; "西安" ; "新城区" ; "陕西省西安市解放路111号万达广场四层" ; "多功能厅" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53605.html"
"53633";"西安电子科技大学大学生活动中心" ; "3250" ; "西安" ; "雁塔区" ; "二环南路西段136号" ; "多功能厅" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53633.html"
"59643";"万和大剧院" ; "3250" ; "西安" ; "新城区" ; "西安市新城区长缨西路1号万和城购物中心6楼" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_59643.html"
"59664";"大华1935•N2馆" ; "3250" ; "西安" ; "新城区" ; "西安市太华南路251号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_59664.html"
"53650";"西安幸福蓝海国际影城4号厅" ; "3250" ; "西安" ; "新城区" ; "陕西省西安市金花南路59号立丰国际9层" ; "影院" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53650.html"
"53652";"西安曲江太平洋影城7号厅" ; "3250" ; "西安" ; "雁塔区" ; "陕西西安市曲江新区雁南路中段大唐不夜城项目 太平洋电影城" ; "景区" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53652.html"
"53660";"西安奥斯卡五星国际影城5号厅" ; "3250" ; "西安" ; "碑林区" ; "陕西省西安市碑林区骡马市兴正元百货北区六楼" ; "影院" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53660.html"
"53702";"中影大唐西市店" ; "3250" ; "西安" ; "莲湖区" ; "陕西省西安市莲湖区劳动南路1号大唐西市通济坊3层" ; "影院" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53702.html"
"53748";"靖边中学体育场" ; "3250" ; "西安" ; "新城区" ; "靖边中学体育场" ; "体育场馆" ; " 演唱会" ; "0" ; "http://venue.damai.cn/venue_53748.html"
"53749";"西安亚特运动馆2楼" ; "3250" ; "西安" ; "碑林区" ; "长安北路省体育场东门里" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53749.html"
"53765";"曲江大礼堂（西安曲江国际会议中心三楼）" ; "3250" ; "西安" ; "雁塔区" ; "西安市曲江新区 汇新路 曲江国际会议中心三楼（电视塔以东约800米，曲江国际展览中心B馆东侧）" ; "未知" ; " 未知" ; "4" ; "http://venue.damai.cn/venue_53765.html"
"53797";"大唐芙蓉园凤鸣九天剧场" ; "3250" ; "西安" ; "雁塔区" ; "西安市雁塔区大唐芙蓉园南门" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53797.html"
"53858";"西安五四剧院" ; "3250" ; "西安" ; "莲湖区" ; "北大街青年路北边" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53858.html"
"53916";"跋山涉水CLUB" ; "3250" ; "西安" ; "高新区" ; "高新区科技路枫叶新都市北门向西100米路南" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53916.html"
"53968";"玉祥门外天朗酒店B座9楼大会议室" ; "3250" ; "西安" ; "莲湖区" ; "西安市莲湖区环城西路北段360号（玉祥门外）" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_53968.html"
"54182";"西安半坡国际艺术区（原纺织城艺术区）" ; "3250" ; "西安" ; "灞桥区" ; "陕西省西安市灞桥区纺织城西街238号" ; "娱乐休闲" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_54182.html"
"54286";"西安曲江农业博览园" ; "3250" ; "西安" ; "周至县" ; "西安近郊周至县楼观台赵公明财神庙 " ; "景区" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_54286.html"
"54332";"西安宾馆" ; "3250" ; "西安" ; "雁塔区" ; "西安市长安北路58号" ; "酒店" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_54332.html"
"54333";"陕西省图书馆" ; "3250" ; "西安" ; "雁塔区" ; "西安市长安北路18号长安立交西北角" ; "娱乐休闲" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_54333.html"
"54389";"街区CLUB" ; "3250" ; "西安" ; "新城区" ; "西安新城区解放路万达步行街东，东二路与顺城巷路口，顺家酒店旁" ; "Livehouse" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_54389.html"
"54405";"西安兴庆宫大剧院" ; "3250" ; "西安" ; "碑林区" ; "西安市碑林区咸宁西路55号兴庆公园内西侧" ; "剧场" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_54405.html"
"54476";"西安易俗社" ; "3250" ; "西安" ; "碑林区" ; "碑林区西一路282号(近案板街) " ; "剧场" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_54476.html"
"54504";"巴斯蒂安（西安）音乐中心 " ; "3250" ; "西安" ; "雁塔区" ; "西安市雁塔区高新路31号凯创国际大厦B栋1608 " ; "娱乐休闲" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_54504.html"
"54528";"唐华乐府" ; "3250" ; "西安" ; "雁塔区" ; "西安市大雁塔南广场东150米路北（唐华乐府内） " ; "娱乐休闲" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_54528.html"
"54678";"白鹿塬滑雪场" ; "3250" ; "西安" ; "灞桥区" ; "西安市灞桥区纺织城东南6公里处" ; "景区/娱乐休闲" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_54678.html"
"54679";"翠华山滑雪场" ; "3250" ; "西安" ; "长安区" ; "西安市长安区太乙宫镇翠华山 " ; "景区/娱乐休闲" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_54679.html"
"54680";"沣峪庄园滑雪场" ; "3250" ; "西安" ; "长安区" ; "西安市长安区大坝沟" ; "景区/娱乐休闲" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_54680.html"
"54695";"陕西大会堂" ; "3250" ; "西安" ; "雁塔区" ; "西安市雁塔区丈八北路1号陕西宾馆内" ; "剧场" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_54695.html"
"55192";"陕西省妇女儿童活动中心" ; "3250" ; "西安" ; "雁塔区" ; "西安市雁塔区丈八东路8号" ; "剧场/体育场馆" ; " 话剧/儿童亲子" ; "0" ; "http://venue.damai.cn/venue_55192.html"
"55345";"陕西师范大学长安校区上林体育馆" ; "3250" ; "西安" ; "长安区" ; "西安市长安区西长安街" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_55345.html"
"55509";"西安莲湖公园" ; "3250" ; "西安" ; "莲湖区" ; "西安市城内莲湖路18号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_55509.html"
"56500";"西安广电大剧院" ; "3250" ; "西安" ; "雁塔区" ; "曲江新区芙蓉西路91号（大唐芙蓉园西门向南600米）" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_56500.html"
"56761";"大华• 1935小剧场集群叁剧场" ; "3250" ; "西安" ; "未央区" ; "西安市太华南路251号" ; "未知" ; " 话剧" ; "0" ; "http://venue.damai.cn/venue_56761.html"
"56762";"大华• 1935小剧场集群玖剧场" ; "3250" ; "西安" ; "未央区" ; "西安市太华南路251号" ; "未知" ; " 话剧" ; "3" ; "http://venue.damai.cn/venue_56762.html"
"56769";"大华• 1935小剧场集群壹剧场" ; "3250" ; "西安" ; "未央区" ; "西安市太华南路251号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_56769.html"
"56770";"大华• 1935小剧场集群伍剧场" ; "3250" ; "西安" ; "未央区" ; "西安市太华南路251号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_56770.html"
"56919";"TrueCOLOR本色-（西安）" ; "3250" ; "西安" ; "莲湖区" ; "西大街桥梓口上海城首层369号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_56919.html"
"56948";"陕西省妇女儿童活动中心手拉手儿童剧场" ; "3250" ; "西安" ; "雁塔区" ; "西安市雁塔区丈八东路8号" ; "未知" ; " 未知" ; "1" ; "http://venue.damai.cn/venue_56948.html"
"57089";"马蜂窝亲子香草农庄" ; "3250" ; "西安" ; "临潼区" ; "西安临潼国家旅游休闲度假区凤凰大道凤凰池生态谷内" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57089.html"
"57135";"华清池" ; "3250" ; "西安" ; "临潼区" ; "陕西省西安市临潼区华清路038号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57135.html"
"57186";"西安杜陵遗址公园飞飞航空俱乐部" ; "3250" ; "西安" ; "雁塔区" ; "雁塔区雁翔路月亮湾路东南汉风西路飞飞航空俱乐部（汉宣帝杜陵旁）" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57186.html"
"57480";"大华·1935小剧场集群户外剧场" ; "3250" ; "西安" ; "未央区" ; "西安市太华南路251号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57480.html"
"57517";"西安世博园锦绣门" ; "3250" ; "西安" ; "浐灞生态区" ; "西安市浐灞生态区世博大道西安世博园" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57517.html"
"57665";"大华工业遗产博物馆书吧" ; "3250" ; "西安" ; "新城区" ; "西安市太华南路251号（大明宫遗址公园东南侧）" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57665.html"
"57834";"绿地笔克国际会展中心" ; "3250" ; "西安" ; "高新区" ; "西安市高新区唐延南路4号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57834.html"
"57919";"陕西阳光丽都大剧院" ; "3250" ; "西安" ; "碑林区" ; "西安市碑林区环城南路东段29号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57919.html"
"58012";"曲江国际饭店" ; "3250" ; "西安" ; "雁塔区" ; "雁塔区西影路46号（与曲江路交汇处）" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_58012.html"
"58777";"陕西广电大剧院" ; "3250" ; "西安" ; "雁塔区" ; "西安市长安南路336号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_58777.html"
"58905";"陕西人艺小剧场" ; "3250" ; "西安" ; "碑林区" ; "西安建西街163号" ; "未知" ; " 未知" ; "1" ; "http://venue.damai.cn/venue_58905.html"
"59231";"大唐西市博物馆" ; "3250" ; "西安" ; "莲湖区" ; "陕西省西安市劳动南路1号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_59231.html"
"59232";"大唐西市博物场馆" ; "3250" ; "西安" ; "雁塔区" ; "陕西省西安市劳动南路1号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_59232.html"
"59292";"陕北民歌大舞台" ; "3250" ; "西安" ; "碑林区" ; "西安市碑林区体育馆东路9号" ; "未知" ; " 未知" ; "2" ; "http://venue.damai.cn/venue_59292.html"
"59429";"南门瓮城" ; "3250" ; "西安" ; "碑林区" ; "西安市碑林区南门文化礼仪广场" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_59429.html"
"59553";"西安外事学院南校区雨花厅" ; "3250" ; "西安" ; "雁塔区" ; "陕西西安丈八北路18号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_59553.html"
"932";"佛山世纪莲体育场" ; "893" ; "广州" ; "荔湾区" ; "位于佛山市顺德区乐从镇东平河畔" ; "体育场馆" ; " 体育比赛" ; "0" ; "http://venue.damai.cn/venue_932.html"
"939";"香港迪士尼乐园" ; "893" ; "广州" ; "荔湾区" ; "香港大屿山竹篙湾 " ; "公园" ; " 未知" ; "1" ; "http://venue.damai.cn/venue_939.html"
"990";"广州大学城体育中心" ; "893" ; "广州" ; "番禺区" ; "广东省广州市番禺区大学城内环东路208号" ; "体育场馆" ; " 体育比赛" ; "1" ; "http://venue.damai.cn/venue_990.html"
"1008";"广州大学城华南师范大学体育馆 " ; "893" ; "广州" ; "番禺区" ; "广州市番禺区市桥清河东路319号" ; "体育场馆" ; " 体育比赛" ; "0" ; "http://venue.damai.cn/venue_1008.html"
"1017";"长隆水上乐园" ; "893" ; "广州" ; "番禺区" ; "广州 番禺区迎宾路" ; "公园" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_1017.html"
"1118";"广州白云国际会议中心 岭南大会堂" ; "893" ; "广州" ; "白云区" ; "广州白云区白云大道南1039-1045号" ; "多功能厅" ; " 演唱会/音乐会/话剧/歌剧/舞蹈芭蕾" ; "0" ; "http://venue.damai.cn/venue_1118.html"
"1119";"广州白云国际会议中心 广东大会堂" ; "893" ; "广州" ; "白云区" ; "广州白云区白云大道南1039-1045号" ; "多功能厅" ; " 演唱会/音乐会/话剧/歌剧/戏曲综艺/舞蹈芭蕾" ; "0" ; "http://venue.damai.cn/venue_1119.html"
"1202";"广州暨南大学体育馆" ; "893" ; "广州" ; "天河区" ; "广州市天河区黄埔大道西601" ; "体育场馆" ; " 演唱会/体育比赛" ; "0" ; "http://venue.damai.cn/venue_1202.html"
"1301";"广州市儿童活动中心" ; "893" ; "广州" ; "海珠区" ; "广州市童心路1号" ; "多功能厅/广场/商业中心" ; " 儿童亲子" ; "0" ; "http://venue.damai.cn/venue_1301.html"
"1320";"广州友谊剧院" ; "893" ; "广州" ; "越秀区" ; "广州市越秀区人民北路696号" ; "剧场" ; " 话剧/歌剧/戏曲综艺" ; "10" ; "http://venue.damai.cn/venue_1320.html"
"1321";"广州大剧院 歌剧厅" ; "893" ; "广州" ; "天河区" ; "天河区珠江新城华夏路" ; "剧场" ; " 话剧/歌剧/戏曲综艺" ; "21" ; "http://venue.damai.cn/venue_1321.html"
"1322";"广州大学演艺中心" ; "893" ; "广州" ; "番禺区" ; "广东省广州市番禺区新造镇" ; "Livehouse/多功能厅" ; " 演唱会/音乐会/话剧/歌剧/戏曲综艺/舞蹈芭蕾" ; "0" ; "http://venue.damai.cn/venue_1322.html"
"1323";"广东省歌舞团排练场" ; "893" ; "广州" ; "天河区" ; "广东省广州市天河区沙河顶新一街14号" ; "剧场/多功能厅/其他" ; " 舞蹈芭蕾" ; "0" ; "http://venue.damai.cn/venue_1323.html"
"1325";"广外云山会堂" ; "893" ; "广州" ; "白云区" ; "广州市白云区白云大道北2号" ; "会展中心/多功能厅" ; " 话剧/歌剧/魔术马戏" ; "0" ; "http://venue.damai.cn/venue_1325.html"
"1326";"广东外语外贸大学大会堂" ; "893" ; "广州" ; "番禺区" ; "广州市番禺区大学城外环东路178号" ; "剧场/多功能厅" ; " 话剧/歌剧/戏曲综艺/舞蹈芭蕾" ; "0" ; "http://venue.damai.cn/venue_1326.html"
